tid,attribute,correct_val
0,tno,0
0,fname,Pengyuan
0,lname,Zendler
0,gender,F
0,areacode,508
0,phone,744-9007
0,city,SWAMPSCOTT
0,state,MA
0,zip,1907
0,maritalstatus,M
0,haschild,N
0,salary,90000
0,rate,5.3
0,singleexemp,0
0,marriedexemp,7150
0,childexemp,0
1,tno,3
1,fname,Xiangning
1,lname,Vanneste
1,gender,F
1,areacode,862
1,phone,651-6469
1,city,BRIGANTINE
1,state,NJ
1,zip,8203
1,maritalstatus,M
1,haschild,Y
1,salary,55000
1,rate,1.9519792
1,singleexemp,0
1,marriedexemp,2000
1,childexemp,1500
2,tno,6
2,fname,Babette
2,lname,Abawajy
2,gender,M
2,areacode,202
2,phone,222-8737
2,city,WASHINGTON
2,state,DC
2,zip,20226
2,maritalstatus,S
2,haschild,N
2,salary,95000
2,rate,9.0
2,singleexemp,1370
2,marriedexemp,0
2,childexemp,0
3,tno,8
3,fname,Rossella
3,lname,Chinen
3,gender,F
3,areacode,202
3,phone,868-7188
3,city,WASHINGTON
3,state,DC
3,zip,20541
3,maritalstatus,S
3,haschild,N
3,salary,35000
3,rate,9.0
3,singleexemp,1370
3,marriedexemp,0
3,childexemp,0
4,tno,9
4,fname,Fadila
4,lname,Mamelak
4,gender,F
4,areacode,864
4,phone,919-2348
4,city,SAINT MATTHEWS
4,state,SC
4,zip,29135
4,maritalstatus,M
4,haschild,Y
4,salary,65000
4,rate,7.0
4,singleexemp,0
4,marriedexemp,6600
4,childexemp,3300
5,tno,10
5,fname,Nabuo
5,lname,Lugli
5,gender,F
5,areacode,203
5,phone,800-6915
5,city,SOUTHBURY
5,state,CT
5,zip,6488
5,maritalstatus,S
5,haschild,N
5,salary,90000
5,rate,5.0
5,singleexemp,12750
5,marriedexemp,0
5,childexemp,0
6,tno,17
6,fname,Tina
6,lname,Tsotras
6,gender,M
6,areacode,843
6,phone,589-8247
6,city,GAFFNEY
6,state,SC
6,zip,29340
6,maritalstatus,S
6,haschild,Y
6,salary,20000
6,rate,7.0
6,singleexemp,3300
6,marriedexemp,0
6,childexemp,3300
7,tno,18
7,fname,Howard
7,lname,Kageura
7,gender,M
7,areacode,203
7,phone,243-4810
7,city,STAMFORD
7,state,CT
7,zip,6913
7,maritalstatus,S
7,haschild,N
7,salary,80000
7,rate,5.0
7,singleexemp,12750
7,marriedexemp,0
7,childexemp,0
8,tno,22
8,fname,Lian
8,lname,Grospietsch
8,gender,F
8,areacode,216
8,phone,367-4693
8,city,ROBERTSVILLE
8,state,OH
8,zip,44670
8,maritalstatus,S
8,haschild,Y
8,salary,50000
8,rate,2.2057693
8,singleexemp,1300
8,marriedexemp,0
8,childexemp,1300
9,tno,23
9,fname,Qianhong
9,lname,Schmerl
9,gender,M
9,areacode,304
9,phone,708-9312
9,city,BARTLEY
9,state,WV
9,zip,24813
9,maritalstatus,M
9,haschild,Y
9,salary,55000
9,rate,6.1499996
9,singleexemp,0
9,marriedexemp,4000
9,childexemp,2000
10,tno,24
10,fname,Chaisak
10,lname,Lageweg
10,gender,M
10,areacode,302
10,phone,577-3291
10,city,NEWARK
10,state,DE
10,zip,19711
10,maritalstatus,M
10,haschild,Y
10,salary,95000
10,rate,5.95
10,singleexemp,0
10,marriedexemp,220
10,childexemp,110
11,tno,25
11,fname,Vittorio
11,lname,Staggers
11,gender,F
11,areacode,419
11,phone,552-3265
11,city,FORT LORAMIE
11,state,OH
11,zip,45845
11,maritalstatus,S
11,haschild,N
11,salary,85000
11,rate,3.3675900000000003
11,singleexemp,1300
11,marriedexemp,0
11,childexemp,0
12,tno,26
12,fname,Sigbjorn
12,lname,Dawson
12,gender,F
12,areacode,731
12,phone,171-4165
12,city,KNOXVILLE
12,state,TN
12,zip,37916
12,maritalstatus,S
12,haschild,N
12,salary,25000
12,rate,0.0
12,singleexemp,0
12,marriedexemp,0
12,childexemp,0
13,tno,30
13,fname,Shaodi
13,lname,Parson
13,gender,F
13,areacode,662
13,phone,681-3942
13,city,TYLERTOWN
13,state,MS
13,zip,39667
13,maritalstatus,S
13,haschild,N
13,salary,35000
13,rate,5.0
13,singleexemp,6000
13,marriedexemp,0
13,childexemp,0
14,tno,32
14,fname,Allessandro
14,lname,Herity
14,gender,M
14,areacode,434
14,phone,753-8676
14,city,RICHMOND
14,state,VA
14,zip,23240
14,maritalstatus,M
14,haschild,Y
14,salary,80000
14,rate,5.75
14,singleexemp,0
14,marriedexemp,1800
14,childexemp,900
15,tno,33
15,fname,Heeju
15,lname,Liberman
15,gender,M
15,areacode,802
15,phone,101-6985
15,city,EAST WALLINGFORD
15,state,VT
15,zip,5742
15,maritalstatus,S
15,haschild,N
15,salary,40000
15,rate,3.8009440000000003
15,singleexemp,3300
15,marriedexemp,0
15,childexemp,0
16,tno,34
16,fname,Octavio
16,lname,Vittorini
16,gender,F
16,areacode,947
16,phone,992-1762
16,city,CEDAR SPRINGS
16,state,MI
16,zip,49319
16,maritalstatus,S
16,haschild,N
16,salary,25000
16,rate,3.9
16,singleexemp,3100
16,marriedexemp,0
16,childexemp,0
17,tno,39
17,fname,Surjatini
17,lname,Stellhorn
17,gender,M
17,areacode,802
17,phone,915-9500
17,city,WATERBURY
17,state,VT
17,zip,5671
17,maritalstatus,M
17,haschild,Y
17,salary,35000
17,rate,3.7014668
17,singleexemp,0
17,marriedexemp,6600
17,childexemp,3300
18,tno,42
18,fname,Avelino
18,lname,English
18,gender,M
18,areacode,401
18,phone,795-3153
18,city,WESTERLY
18,state,RI
18,zip,2891
18,maritalstatus,M
18,haschild,Y
18,salary,70000
18,rate,0.0
18,singleexemp,0
18,marriedexemp,0
18,childexemp,0
19,tno,45
19,fname,Yuyan
19,lname,Simao
19,gender,M
19,areacode,603
19,phone,350-5756
19,city,EAST DERRY
19,state,NH
19,zip,3041
19,maritalstatus,M
19,haschild,Y
19,salary,50000
19,rate,0.0
19,singleexemp,0
19,marriedexemp,0
19,childexemp,0
20,tno,46
20,fname,Toshiya
20,lname,Moshkow
20,gender,M
20,areacode,609
20,phone,858-3419
20,city,BELLEVILLE
20,state,NJ
20,zip,7109
20,maritalstatus,S
20,haschild,Y
20,salary,75000
20,rate,2.2673959999999997
