fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
Pengyuan,Zendler,F,508,744-9007,SWAMPSCOTT,MA,1907,M,N,90000,5.3,0,7150,0
Xiangning,Vanneste,F,862,651-6469,BRIGANTINE,NJ,8203,M,Y,55000,1.9519792,0,2000,1500
Nabuo,Lugli,F,203,800-6915,SOUTHBURY,CT,6488,S,N,90000,5.0,12750,0,0
Howard,Kageura,M,203,243-4810,STAMFORD,CT,6913,S,N,80000,5.0,12750,0,0
Heeju,Liberman,M,802,101-6985,EAST WALLINGFORD,VT,5742,S,N,40000,3.8009440000000003,3300,0,0
Surjatini,Stellhorn,,802,915-9500,WATERBURY,VT,5671,M,Y,35000,3.7014668,0,6600,3300
Avelino,English,M,401,795-3153,WESTERLY,RI,2891,M,Y,70000,0.0,0,0,0
Yuyan,Simao,M,603,350-5756,EAST DERRY,NH,3041,M,Y,50000,0.0,0,0,0
Toshiya,Moshkow,M,609,858-3419,BELLEVILLE,NJ,7109,S,Y,75000,2.2673959999999997,1000,0,1500
Naomi,Jolfaei,F,802,284-1040,BARRE,VT,5641,S,Y,30000,3.6019894999999997,3300,0,3300
Antoni,Bober,F,860,822-3830,EAST WOODSTOCK,CT,6244,S,Y,70000,5.0,12750,0,0
Tankoano,Stumptner,M,203,717-2198,VERSAILLES,NJ,6383,M,Y,5000,3.0,0,24500,0
Montgomery,Odberg,M,802,390-6816,BROWNSVILLE,VT,5037,S,N,60000,4.1988535,3300,0,0
Mirit,Hanchek,F,603,995-2629,CANAAN,NJ,3741,M,Y,70000,0.0,0,0,0
Gudala,Earley,F,203,691-8996,ONECO,CT,6373,M,N,55000,5.0,0,24500,0
Hiromu,Nobauer,M,401,119-4372,KINGSTON,RI,2881,S,N,75000,0.0,0,0,0
Dung,Pike,F,774,133-6113,BRIDGEWATER,MA,2325,S,N,55000,5.3,3575,0,0
Sonu,Merhav,M,603,379-9505,GLEN,NH,3838,M,N,15000,0.0,0,0,0
Juanita,Sivarajan,F,603,966-6735,GRAFTON,NH,3240,S,Y,30000,0.0,0,0,0
Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000
Baoquan,Guha,F,339,730-7750,EAST WALPOLE,MA,2032,S,Y,40000,5.3,3575,0,1000
Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,S,Y,30000,0.0,0,0,0
Giuseppe,Daigle,M,603,900-7725,MANCHESTER,NH,3104,M,Y,70000,0.0,0,0,0
Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,7150,1000
Chinho,Demmer,F,860,584-9932,EAST HAMPTON,CT,6424,M,N,30000,5.0,0,,0
