tid,attribute,correct_val
0,index,1
0,name,Brad_Zhaofang
0,surname,Dighe
0,birthyear,1977
0,birthplace,Frankfurt
0,position,Defender
0,team,P.a.o.k_Fc
0,city,Tokyo
0,stadium,BMO_Field
0,season,2012
0,manager,Xiaomin_Saoudi
1,index,2
1,name,Asis_Sinisa
1,surname,Hennebert
1,birthyear,1986
1,birthplace,Elko
1,position,Midfield
1,team,Juventus
1,city,Salvador
1,stadium,BMO_Field
1,season,2010
1,manager,Masum_Kasprzak
2,index,3
2,name,Bhuwan_Percy
2,surname,Bouabdallah
2,birthyear,1984
2,birthplace,Guangzhou
2,position,Forward
2,team,Boavista_F.C.
2,city,Naples
2,stadium,Veltins-Arena
2,season,2015
2,manager,Duckyoung_Padhye
3,index,4
3,name,Pierangela_Sudha
3,surname,Tulley
3,birthyear,1986
3,birthplace,Greensboro
3,position,Goalkeeper
3,team,P.a.o.k_Fc
3,city,Brasilia
3,stadium,King_Power_Stadium
3,season,2012
3,manager,Sreenivas_Wohr
4,index,5
4,name,Caryl_Moninder
4,surname,Obermaier
4,birthyear,1984
4,birthplace,Warsaw
4,position,Forward
4,team,VfL_Wolfsburg
4,city,Solna
4,stadium,Allianz_Arena_Olympic_Stadium_Munich
4,season,2011
4,manager,Atsufumi_Comparetto
5,index,6
5,name,Luitpold_Avra
5,surname,Guyton
5,birthyear,1981
5,birthplace,Des
5,position,Goalkeeper
5,team,Valencia_CF
5,city,Montevideo
5,stadium,Constant_Vanden_Stock_Stadium
5,season,2011
5,manager,Veit_Luks
6,index,7
6,name,Ryoichi_Ilan
6,surname,Togni
6,birthyear,1992
6,birthplace,Vienna
6,position,Forward
6,team,FK_Partizan
6,city,Orlando
6,stadium,White_Hart_Lane
6,season,2013
6,manager,Ryouji_Dare
7,index,8
7,name,Zhili_Vinay
7,surname,Molzberger
7,birthyear,1981
7,birthplace,Florence
7,position,Goalkeeper
7,team,Boavista_F.C.
7,city,Naples
7,stadium,Veltins-Arena
7,season,2013
7,manager,Srikanth_Chimia
8,index,9
8,name,Maggie_Zhiqiang
8,surname,Dabipi
8,birthyear,1980
8,birthplace,La
8,position,Defender
8,team,P.a.o.k_Fc
8,city,Munich
8,stadium,Allianz_Arena_Olympic_Stadium_Munich
8,season,2012
8,manager,Sreenivas_Wohr
9,index,10
9,name,Guisseppi_Abdelmadjid
9,surname,Newstead
9,birthyear,1994
9,birthplace,Istanbul
9,position,Midfield
9,team,Juventus
9,city,Salvador
9,stadium,BMO_Field
9,season,2012
9,manager,IlYoung_Giese
10,index,11
10,name,Pitro_Melek
10,surname,Poulin
10,birthyear,1975
10,birthplace,Buffalo
10,position,Midfield
10,team,FC_Kaiserslautern
10,city,Munich
10,stadium,Stadio_Olimpico
10,season,2012
10,manager,Atsufumi_Comparetto
11,index,12
11,name,Nalvo_Shaygan
11,surname,Handschuh
11,birthyear,1996
11,birthplace,Missoula
11,position,Defender
11,team,Boavista_F.C.
11,city,Naples
11,stadium,Veltins-Arena
11,season,2015
11,manager,Duckyoung_Padhye
12,index,13
12,name,Maggie_Zhiqiang
12,surname,Dabipi
12,birthyear,1980
12,birthplace,La
12,position,Defender
12,team,P.a.o.k_Fc
12,city,Munich
12,stadium,Allianz_Arena_Olympic_Stadium_Munich
12,season,2012
12,manager,Sreenivas_Wohr
13,index,14
13,name,Gina_Kenta
13,surname,Besancenot
13,birthyear,1976
13,birthplace,Mobile
13,position,Defender
13,team,Clube_de_Regatas_do_Flamengo
13,city,Rio_de_Janeiro
13,stadium,Stadio_Olimpico
13,season,2013
13,manager,Jeremy_Cantu
14,index,15
