Attribute,Index,Dirty Value,Clean Value
gender,1191,nm,m
gender,3034,***,f
gender,4595,nan,m
gender,6374,nan,m
gender,7308,***,f
gender,8521,nan,m
gender,10386,nan,f
gender,19350,nan,m
gender,19712,***,f
city,583,aadmsville,adamsville
city,1307,cayye,cayey
city,4411,swampsctt,swampscott
city,6974,gill***,gill
city,7173,harmoyn,harmony
city,7922,harmnoy,harmony
city,7966,guaynaabo,guaynabo
city,8396,gujanica,guanica
city,8405,guanyabo,guaynabo
city,8436,hanoer,hanover
city,8445,gayama,guayama
city,9535,lowell***,lowell
city,9820,ugaynabo,guaynabo
city,11314,halnifax,halifax
city,11705,guayenabo,guaynabo
city,12982,pnce,ponce
city,16606,uaynabo,guaynabo
city,16704,guajynabo,guaynabo
city,16834,gvuaynabo,guaynabo
city,17148,nan,boston
city,17894,groveladn,groveland
city,18379,juana diza,juana diaz
city,18639,bayvamon,bayamon
city,18734,gurbao,gurabo
city,18982,guayaam,guayama
city,19028,grabo,gurabo
city,19698,harmxony,harmony
city,19712,gurbo,gurabo
state,672,yma,ma
state,15182,ima,ma
state,15934,i,ri
state,17035,pdr,pr
state,17637,rgi,ri
state,18460,i,ri
singleexemp,7193,5375,3575
singleexemp,18650,3755,3575
marriedexemp,3659,o0,0
marriedexemp,3820,150,7150
marriedexemp,6974,71j50,7150
marriedexemp,9830,715w0,7150
marriedexemp,11244,150,7150
marriedexemp,13524,7510,7150
marriedexemp,14684,7105,7150
childexemp,1845,v0,0
childexemp,9516,***,0
childexemp,11216,***,0
