Attribute,Index,Clean Value,Dirty Value
HospitalName,2,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,3,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,4,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,5,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,6,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,7,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,20,southeast alabama medical center,callahan eye foundation hospital
HospitalName,21,southeast alabama medical center,callahan eye foundation hospital
HospitalName,22,southeast alabama medical center,callahan eye foundation hospital
HospitalName,23,southeast alabama medical center,callahan eye foundation hospital
HospitalName,24,southeast alabama medical center,southeast alabama mezdical center
HospitalName,25,southeast alabama medical center,southeats alabama medical center
HospitalName,26,southeast alabama medical center,southeast alabama medical cenetr
HospitalName,27,southeast alabama medical center,southeast alabama medical cengter
HospitalName,28,southeast alabama medical center,empty
HospitalName,29,southeast alabama medical center,southeast alabmaa medical center
HospitalName,30,southeast alabama medical center,southeast alabama medicall center
HospitalName,31,southeast alabama medical center,southeast alabama medical centr
HospitalName,32,southeast alabama medical center,southeast alabamau medical center
HospitalName,33,southeast alabama medical center,southeast alabma medical center
HospitalName,34,southeast alabama medical center,southeast alaabma medical center
HospitalName,35,southeast alabama medical center,southeast alabama medical jcenter
HospitalName,36,southeast alabama medical center,southeast alabama medickal center
HospitalName,37,southeast alabama medical center,southeast alabama medical pcenter
HospitalName,38,southeast alabama medical center,southeast alabama medical centker
HospitalName,39,southeast alabama medical center,southeast alabama medical cneter
HospitalName,40,southeast alabama medical center,southeast alabam amedical center
HospitalName,41,southeast alabama medical center,southeast alabama medical ecnter
HospitalName,42,southeast alabama medical center,sooutheast alabama medical center
HospitalName,43,southeast alabama medical center,southeast alabama medicalg center
HospitalName,44,marshall medical center south,callahan eye foundation hospital
HospitalName,45,marshall medical center south,callahan eye foundation hospital
HospitalName,46,marshall medical center south,callahan eye foundation hospital
HospitalName,47,marshall medical center south,callahan eye foundation hospital
HospitalName,48,marshall medical center south,callahan eye foundation hospital
HospitalName,49,marshall medical center south,callahan eye foundation hospital
HospitalName,50,marshall medical center south,callahan eye foundation hospital
HospitalName,51,marshall medical center south,callahan eye foundation hospital
HospitalName,52,marshall medical center south,callahan eye foundation hospital
HospitalName,81,eliza coffee memorial hospital,empty
HospitalName,108,mizell memorial hospital,callahan eye foundation hospital
HospitalName,109,mizell memorial hospital,callahan eye foundation hospital
HospitalName,110,mizell memorial hospital,callahan eye foundation hospital
HospitalName,111,mizell memorial hospital,callahan eye foundation hospital
HospitalName,112,mizell memorial hospital,callahan eye foundation hospital
HospitalName,113,mizell memorial hospital,callahan eye foundation hospital
HospitalName,114,mizell memorial hospital,callahan eye foundation hospital
HospitalName,115,mizell memorial hospital,callahan eye foundation hospital
HospitalName,116,mizell memorial hospital,callahan eye foundation hospital
HospitalName,117,mizell memorial hospital,callahan eye foundation hospital
HospitalName,118,mizell memorial hospital,callahan eye foundation hospital
HospitalName,119,crenshaw community hospital,callahan eye foundation hospital
HospitalName,120,crenshaw community hospital,callahan eye foundation hospital
HospitalName,121,crenshaw community hospital,callahan eye foundation hospital
HospitalName,122,crenshaw community hospital,callahan eye foundation hospital
HospitalName,123,crenshaw community hospital,callahan eye foundation hospital
HospitalName,124,crenshaw community hospital,callahan eye foundation hospital
HospitalName,125,crenshaw community hospital,callahan eye foundation hospital
HospitalName,126,crenshaw community hospital,callahan eye foundation hospital
HospitalName,127,crenshaw community hospital,callahan eye foundation hospital
HospitalName,144,hartselle medical center,hartselle medicakl center
HospitalName,164,hartselle medical center,callahan eye foundation hospital
HospitalName,165,hartselle medical center,callahan eye foundation hospital
