Attribute,Index,Clean Value,Dirty Value
fname,825,Jun'ichi,Jun''ichi
fname,2150,M'hamed,M''hamed
fname,2652,Jun'ichi,Jun''ichi
fname,2923,Sei'ichi,Sei''ichi
fname,3338,Its'hak,Its''hak
fname,3534,Jun'ichi,Jun''ichi
fname,3555,M'Lissa,M''Lissa
fname,3630,Shin'ichi,Shin''ichi
fname,5400,M'Lissa,M''Lissa
fname,9234,Jun'ichi,Jun''ichi
fname,9924,Ken'ichi,Ken''ichi
lname,229,d'Argence,d''Argence
lname,944,D'Amiano,D''Amiano
lname,1134,Give'on,Give''on
lname,1518,O'Boyle,O''Boyle
lname,2274,O'Donoghue,O''Donoghue
lname,2873,D'Auria,D''Auria
lname,3292,O'Young,O''Young
lname,3305,d'Astous,d''Astous
lname,3677,d'Acierno,d''Acierno
lname,3807,D'Agostino,D''Agostino
lname,3877,d'Alcantara,d''Alcantara
lname,4002,D'Agostino,D''Agostino
lname,4171,D'Ambra,D''Ambra
lname,4222,d'Astous,d''Astous
lname,4694,O'Reagan,O''Reagan
lname,4811,D'Hooge,D''Hooge
lname,5246,D'Amiano,D''Amiano
lname,5952,D'Hooge,D''Hooge
lname,6512,Il'in,Il''in
lname,6841,D'Aloisi,D''Aloisi
lname,6864,O'Halloran,O''Halloran
lname,6991,Vorc'h,Vorc''h
lname,6992,N'Dong,N''Dong
lname,7185,O'Hallaron,O''Hallaron
lname,7192,D'Auria,D''Auria
lname,7269,D'Auria,D''Auria
lname,7336,O'Callaghan,O''Callaghan
lname,7749,d'Astous,d''Astous
lname,8441,D'Ambra,D''Ambra
lname,9124,d'Inverno,d''Inverno
lname,9150,d'Argence,d''Argence
lname,9425,D'Auria,D''Auria
lname,9605,d'Inverno,d''Inverno
gender,9,F,empty
gender,20,F,***
gender,42,M,zM
gender,56,M,empty
gender,64,M,empty
gender,101,M,empty
gender,106,F,empty
gender,133,F,***
gender,169,F,empty
gender,172,M,empty
gender,201,F,empty
gender,243,F,empty
gender,256,M,tM
gender,307,F,empty
gender,320,F,empty
gender,324,F,empty
gender,348,M,empty
gender,374,F,empty
gender,381,F,empty
gender,418,F,empty
gender,421,M,***
gender,429,M,empty
gender,463,M,empty
gender,473,M,empty
gender,474,F,***
gender,478,M,empty
gender,485,M,empty
gender,501,F,empty
gender,510,F,pF
gender,524,F,***
gender,536,F,empty
gender,544,M,***
gender,548,F,empty
gender,549,M,***
gender,563,F,empty
gender,572,F,empty
gender,585,F,empty
gender,588,F,hF
gender,644,M,oM
gender,689,F,empty
gender,731,F,empty
gender,737,M,empty
gender,792,F,empty
gender,794,F,hF
gender,813,M,empty
gender,825,M,empty
gender,828,M,zM
gender,836,F,empty
gender,844,M,empty
gender,855,M,empty
gender,897,M,empty
gender,910,F,uF
gender,925,F,uF
gender,944,M,empty
gender,978,F,***
gender,1043,F,empty
gender,1085,F,empty
gender,1174,M,***
gender,1218,F,empty
gender,1226,F,***
gender,1235,M,***
gender,1294,M,lM
gender,1301,M,empty
gender,1326,F,empty
gender,1368,M,empty
gender,1380,M,empty
gender,1401,M,empty
gender,1446,M,empty
gender,1453,F,empty
gender,1521,M,empty
gender,1543,M,empty
gender,1546,M,***
gender,1553,F,empty
